id,code,name,chart_template_id/id,user_type_id/id,tag_ids/id,group_id/id,reconcile
ac_2010502,2.01.05.02,PROVISIONES CORRIENTES DEL EXTERIOR,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_20105,False
ac_20106,2.01.06,PORCIÓN CORRIENTE DE OBLIGACIONES EMITIDAS ,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_201,False
ac_201070101,2.01.07.01.01,OBLIGACIONES CON ADMIN.TRIBUTARIA (IVA) COBRADO EN VENTAS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_2010701,False
ac_201070102,2.01.07.01.02,OBLIGACIONES CON ADMIN.TRIBUTARIA (IVA) RETENIDO EN COMPRAS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_2010701,False
ac_201070103,2.01.07.01.03,OBLIGACIONES CON ADMIN.TRIBUTARIA (IR) RETENIDO EN COMPRAS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_2010701,False
ac_201070104,2.01.07.01.04,OBLIGACIONES CON ADMIN.TRIBUTARIA (ICE) COBRADO EN VENTAS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_2010701,False
ac_2010702,2.01.07.02,OBLIGACIONES CON ADMIN.TRIBUTARIA (IR) DEL EJERCICIO,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_20107,False
ac_2010703,2.01.07.03,OBLIGACIONES CON EL IESS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_20107,False
ac_2010704,2.01.07.04,OBLIGACIONES CON LOS EMPLEADOS - POR BENEFICIOS DE LEY,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_20107,False
ac_2010705,2.01.07.05,OBLIGACIONES CON LOS EMPLEADOS - UTILIDADES DEL EJERCICIO ,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_20107,False
ac_2010706,2.01.07.06,OBLIGACIONES CON LOS ACCIONISTAS - DIVIDENDOS POR PAGAR,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_20107,False
ac_20108,2.01.08,CXP DIVERSAS - RELACIONADAS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_payable,account.account_tag_operating,l10n_ec_oodca.group_201,True
ac_20109,2.01.09,OTROS PASIVOS FINANCIEROS CORRIENTES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_201,False
ac_20110,2.01.10,ANTICIPOS DE CLIENTES CORRIENTES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_201,False
ac_20111,2.01.11,PASIVOS DIREC.ASOCIADOS CON ACTIVOS NO CORR.Y OPER.DISCONT.,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_201,False
ac_2011201,2.01.12.01,JUBILACIÓN PATRONAL CORRIENTE,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_20112,False
ac_2011202,2.01.12.02,OTROS BENEFICIOS A LARGO PLAZO PARA LOS EMPLEADOS CORRIENTE,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_20112,False
ac_2011301,2.01.13.01,OBLIGACIONES CON RECOLECTORES BOTELLAS (IRBPNR) EN VENTAS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_20113,False
ac_20201,2.02.01,PASIVOS NO CORRIENTES EN CONTRATOS ARRENDAMIENTO FINANCIERO ,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_non_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_202,False
ac_2020201,2.02.02.01,CUENTAS Y DOCUMENTOS POR PAGAR NO CORRIENTES LOCALES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_non_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_20202,False
ac_2020202,2.02.02.02,CUENTAS Y DOCUMENTOS POR PAGAR NO CORRIENTES DEL EXTERIOR,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_non_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_20202,False
ac_2020301,2.02.03.01,OBLIGACIONES NO CORRIENTES INSTITUCIONES FINANCIERAS LOCALES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_non_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_20203,False
ac_2020302,2.02.03.02,OBLIGACIONES NO CORRIENTES INSTITUCIONES FINANCIERAS EXTERIOR,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_non_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_20203,False
ac_2020401,2.02.04.01,CXP NO CORRIENTES RELACIONADAS LOCALES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_payable,account.account_tag_operating,l10n_ec_oodca.group_20204,True
ac_2020402,2.02.04.02,CXP NO CORRIENTES RELACIONADAS EXTERIOR,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_payable,account.account_tag_operating,l10n_ec_oodca.group_20204,True
ac_20205,2.02.05,OBLIGACIONES EMITIDAS NO CORRIENTES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_non_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_202,False
ac_20206,2.02.06,ANTICIPOS DE CLIENTES NO CORRIENTES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_non_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_202,False
ac_2020701,2.02.07.01,JUBILACIÓN PATRONAL NO CORRIENTE,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_non_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_20207,False
ac_2020702,2.02.07.02,OTROS BENEFICIOS NO CORRIENTES PARA LOS EMPLEADOS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_non_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_20207,False
ac_20208,2.02.08,OTRAS PROVISIONES NO CORRIENTES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_non_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_202,False
ac_2020901,2.02.09.01,INGRESOS DIFERIDOS NO CORRIENTES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_non_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_20209,False
ac_2020902,2.02.09.02,PASIVOS POR IMPUESTOS DIFERIDOS ,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_non_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_20209,False
ac_20210,2.02.10,OTROS PASIVOS NO CORRIENTES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_non_current_liabilities,account.account_tag_operating,l10n_ec_oodca.group_202,False
ac_30101,3.0.1.01,CAPITAL SUSCRITO O  ASIGNADO,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_equity,account.account_tag_financing,l10n_ec_oodca.group_301,False
ac_30102,3.0.1.02,"(-) CAPITAL SUSCRITO NO PAGADO, ACCIONES EN TESORERÍA ",l10n_ec_oodca.account_ec_chart_template,account.data_account_type_equity,account.account_tag_financing,l10n_ec_oodca.group_301,False
ac_302,3.0.2,APORTES DE SOCIOS O ACCIONISTAS PARA FUTURA CAPITALIZACIÓN,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_equity,account.account_tag_financing,l10n_ec_oodca.group_3,False
ac_303,3.0.3,PRIMA POR EMISIÓN PRIMARIA DE ACCIONES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_equity,account.account_tag_financing,l10n_ec_oodca.group_3,False
ac_30401,3.0.4.01,RESERVA LEGAL,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_equity,account.account_tag_financing,l10n_ec_oodca.group_304,False
ac_30402,3.0.4.02,RESERVAS FACULTATIVA Y ESTATUTARIA,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_equity,account.account_tag_financing,l10n_ec_oodca.group_304,False
ac_30501,3.0.5.01,SUPERÁVIT DE ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA ,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_equity,account.account_tag_financing,l10n_ec_oodca.group_305,False
ac_30502,3.0.5.02,"SUPERÁVIT POR REVALUACIÓN DE PROPIEDADES, PLANTA Y EQUIPO ",l10n_ec_oodca.account_ec_chart_template,account.data_account_type_equity,account.account_tag_financing,l10n_ec_oodca.group_305,False
ac_30503,3.0.5.03,SUPERÁVIT POR REVALUACIÓN DE ACTIVOS INTANGIBLES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_equity,account.account_tag_financing,l10n_ec_oodca.group_305,False
ac_30504,3.0.5.04,OTROS SUPERÁVIT POR REVALUACIÓN,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_equity,account.account_tag_financing,l10n_ec_oodca.group_305,False
ac_30601,3.0.6.01,GANANCIAS ACUMULADAS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_equity,account.account_tag_financing,l10n_ec_oodca.group_306,False
ac_30602,3.0.6.02,(-) PÉRDIDAS ACUMULADAS ,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_equity,account.account_tag_financing,l10n_ec_oodca.group_306,False
ac_30603,3.0.6.03,RESULTADOS ACUMULADOS PROV.ADOPCIÓN POR PRIMERA VEZ NIIF ,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_equity,account.account_tag_financing,l10n_ec_oodca.group_306,False
ac_30604,3.0.6.04,RESERVA DE CAPITAL,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_equity,account.account_tag_financing,l10n_ec_oodca.group_306,False
ac_30605,3.0.6.05,RESERVA POR DONACIONES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_equity,account.account_tag_financing,l10n_ec_oodca.group_306,False
ac_30606,3.0.6.06,RESERVA POR VALUACIÓN,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_equity,account.account_tag_financing,l10n_ec_oodca.group_306,False
ac_30607,3.0.6.07,SUPERÁVIT POR REVALUACIÓN DE INVERSIONES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_equity,account.account_tag_financing,l10n_ec_oodca.group_306,False
ac_30701,3.0.7.01,GANANCIA NETA DEL PERIODO,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_equity,account.account_tag_financing,l10n_ec_oodca.group_307,False
ac_30702,3.0.7.02,(-) PÉRDIDA NETA DEL PERIODO,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_equity,account.account_tag_financing,l10n_ec_oodca.group_307,False
ac_31101,3.1.1.01,PARTICIPACIÓN NO CONTROLADORAS,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_equity,account.account_tag_financing,l10n_ec_oodca.group_311,False
ac_4101,4.1.01,VENTA DE BIENES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_revenue,account.account_tag_operating,l10n_ec_oodca.group_41,False
ac_410201,4.1.02.01,PRESTACIÓN DE SERVICIOS DE CAPACITACIÓN,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_revenue,account.account_tag_operating,l10n_ec_oodca.group_4102,False
ac_410202,4.1.02.02,PRESTACIÓN DE SERVICIOS DE HOSPEDAJE DE SERVIDORES,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_revenue,account.account_tag_operating,l10n_ec_oodca.group_4102,False
ac_410203,4.1.02.03,PRESTACIÓN DE SERVICIOS DE IMPLEMENTACIÓN,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_revenue,account.account_tag_operating,l10n_ec_oodca.group_4102,False
ac_410204,4.1.02.04,PRESTACIÓN DE SERVICIOS DE LICENCIAMIENTO,l10n_ec_oodca.account_ec_chart_template,account.data_account_type_revenue,account.account_tag_operating,l10n_ec_oodca.group_4102,False
